表章項目,時間軸（月次）,市区町村 コード,市区町村,/国籍07,総数,中国,韓国,韓国・朝鮮,フィリピン,ブラジル,ベトナム,ペルー,ネパール,米国,台湾,その他
人数【人】,2016年6月,4101,青葉区,,5815,2078,810,***,154,34,594,***,464,179,110,1392
人数【人】,2016年6月,4102,宮城野区,,1655,671,339,***,121,8,169,***,95,46,27,179
人数【人】,2016年6月,4103,若林区,,1372,300,195,***,37,6,246,***,421,24,14,129
人数【人】,2016年6月,4104,太白区,,1700,435,403,***,90,8,135,***,128,97,14,390
人数【人】,2016年6月,4105,泉区,,1150,251,286,***,65,25,99,***,32,156,42,194
人数【人】,2016年6月,4202,石巻市,,981,312,109,***,129,10,168,***,5,34,11,203
人数【人】,2016年6月,4203,塩竈市,,405,171,57,***,20,4,75,***,-,9,3,66
人数【人】,2016年6月,4205,気仙沼市,,359,119,24,***,81,2,26,***,4,9,7,87
人数【人】,2016年6月,4206,白石市,,164,62,47,***,25,-,-,***,-,2,4,24
人数【人】,2016年6月,4207,名取市,,364,128,81,***,16,7,27,***,6,6,3,90
人数【人】,2016年6月,4208,角田市,,175,90,28,***,28,1,4,***,-,3,-,21
人数【人】,2016年6月,4209,多賀城市,,426,171,92,***,17,6,45,***,3,17,6,69
人数【人】,2016年6月,4211,岩沼市,,193,66,31,***,17,4,21,***,-,1,1,52
人数【人】,2016年6月,4212,登米市,,307,137,66,***,54,2,15,***,4,9,-,20
人数【人】,2016年6月,4213,栗原市,,348,114,86,***,53,10,44,***,-,9,2,30
人数【人】,2016年6月,4214,東松島市,,100,29,35,***,15,-,3,***,1,6,3,8
人数【人】,2016年6月,4215,大崎市,,749,215,218,***,66,5,31,***,2,18,25,169
人数【人】,2016年6月,4301,蔵王町,,65,8,15,***,18,-,6,***,-,-,1,17
人数【人】,2016年6月,4302,七ヶ宿町,,19,5,4,***,-,1,-,***,-,1,-,8
人数【人】,2016年6月,4321,大河原町,,92,21,19,***,13,1,2,***,2,6,-,28
人数【人】,2016年6月,4322,村田町,,43,7,11,***,7,-,2,***,-,2,-,14
人数【人】,2016年6月,4323,柴田町,,164,61,43,***,15,-,4,***,-,5,13,23
人数【人】,2016年6月,4324,川崎町,,33,7,18,***,3,-,-,***,-,3,-,2
人数【人】,2016年6月,4341,丸森町,,131,27,23,***,16,2,13,***,-,7,14,29
人数【人】,2016年6月,4361,亘理町,,97,33,16,***,18,6,2,***,-,7,-,15
人数【人】,2016年6月,4362,山元町,,58,13,9,***,16,-,3,***,-,9,1,7
人数【人】,2016年6月,4401,松島町,,39,6,11,***,10,-,-,***,-,2,2,8
人数【人】,2016年6月,4404,七ヶ浜町,,59,5,11,***,7,1,3,***,1,4,-,27
人数【人】,2016年6月,4406,利府町,,119,40,34,***,10,1,5,***,-,5,2,22
人数【人】,2016年6月,4421,大和町,,178,17,55,***,7,1,17,***,1,3,1,76
人数【人】,2016年6月,4422,大郷町,,43,13,7,***,3,1,3,***,-,1,-,15
人数【人】,2016年6月,4423,富谷町,,169,39,65,***,9,7,10,***,1,6,2,30
人数【人】,2016年6月,4424,大衡村,,66,-,16,***,1,-,27,***,-,1,-,21
人数【人】,2016年6月,4444,色麻町,,58,28,8,***,3,-,7,***,2,1,-,9
人数【人】,2016年6月,4445,加美町,,119,29,35,***,10,1,21,***,-,5,3,15
人数【人】,2016年6月,4501,涌谷町,,58,16,22,***,6,-,-,***,-,2,-,12
人数【人】,2016年6月,4505,美里町,,82,18,29,***,10,-,6,***,-,3,1,15
