"統計名：","在留外国人統計（旧登録外国人統計） 在留外国人統計"
"表番号：","07"
"表題：","市区町村別　国籍・地域別　在留外国人"
"実施年月：","-","-"
"市区町村時点（年月日）：","2015年12月31日"

"***","数字が得られないもの"
"-","数字が得られないもの"

"","","","","","","","000","","105","","103","","901","","117","","410","","110","","407","","131","","304","","106","","960",""
"表章項目 コード","表章項目","時間軸（月次） コード","時間軸（月次）","市区町村 コード","市区町村","/国籍07","総数","注釈","中国","注釈","韓国","注釈","韓国・朝鮮","注釈","フィリピン","注釈","ブラジル","注釈","ベトナム","注釈","ペルー","注釈","ネパール","注釈","米国","注釈","台湾","注釈","その他","注釈"
"101","人数【人】","2016000606","2016年6月","01555","遠軽町","","59","","23","","6","","***","","12","","1","","4","","***","","-","","2","","1","","10",""
"101","人数【人】","2016000606","2016年6月","01559","湧別町","","133","","55","","1","","***","","6","","-","","65","","***","","-","","-","","-","","6",""
"101","人数【人】","2016000606","2016年6月","01560","滝上町","","8","","1","","-","","***","","1","","1","","2","","***","","-","","1","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01561","興部町","","70","","52","","2","","***","","-","","-","","6","","***","","-","","-","","1","","9",""
"101","人数【人】","2016000606","2016年6月","01562","西興部村","","8","","2","","-","","***","","2","","-","","3","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01563","雄武町","","186","","154","","2","","***","","2","","-","","17","","***","","-","","1","","-","","10",""
"101","人数【人】","2016000606","2016年6月","01564","大空町","","13","","5","","1","","***","","1","","-","","-","","***","","-","","-","","-","","6",""
"101","人数【人】","2016000606","2016年6月","01571","豊浦町","","29","","4","","8","","***","","1","","-","","-","","***","","-","","2","","2","","12",""
"101","人数【人】","2016000606","2016年6月","01575","壮瞥町","","24","","19","","-","","***","","-","","-","","-","","***","","-","","1","","2","","2",""
"101","人数【人】","2016000606","2016年6月","01578","白老町","","90","","46","","16","","***","","1","","-","","9","","***","","-","","1","","1","","16",""
"101","人数【人】","2016000606","2016年6月","01581","厚真町","","23","","1","","2","","***","","1","","6","","10","","***","","-","","1","","1","","1",""
"101","人数【人】","2016000606","2016年6月","01584","洞爺湖町","","90","","31","","4","","***","","2","","1","","24","","***","","-","","3","","12","","13",""
"101","人数【人】","2016000606","2016年6月","01585","安平町","","44","","18","","3","","***","","4","","-","","-","","***","","-","","1","","1","","17",""
"101","人数【人】","2016000606","2016年6月","01586","むかわ町","","115","","82","","4","","***","","1","","-","","16","","***","","-","","1","","1","","10",""
"101","人数【人】","2016000606","2016年6月","01601","日高町","","146","","35","","11","","***","","46","","-","","10","","***","","16","","1","","-","","27",""
"101","人数【人】","2016000606","2016年6月","01602","平取町","","123","","110","","3","","***","","-","","2","","2","","***","","-","","1","","2","","3",""
"101","人数【人】","2016000606","2016年6月","01604","新冠町","","84","","2","","1","","***","","32","","-","","23","","***","","-","","1","","1","","24",""
"101","人数【人】","2016000606","2016年6月","01607","浦河町","","96","","6","","7","","***","","31","","-","","-","","***","","-","","4","","-","","48",""
"101","人数【人】","2016000606","2016年6月","01608","様似町","","16","","3","","3","","***","","5","","-","","-","","***","","-","","2","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01609","えりも町","","30","","8","","4","","***","","2","","-","","-","","***","","-","","1","","-","","15",""
"101","人数【人】","2016000606","2016年6月","01610","新ひだか町","","86","","11","","31","","***","","10","","-","","-","","***","","5","","1","","-","","28",""
"101","人数【人】","2016000606","2016年6月","01631","音更町","","87","","19","","15","","***","","4","","2","","9","","***","","-","","-","","8","","30",""
"101","人数【人】","2016000606","2016年6月","01632","士幌町","","50","","32","","6","","***","","1","","-","","8","","***","","-","","1","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01633","上士幌町","","58","","36","","6","","***","","-","","1","","10","","***","","-","","2","","1","","2",""
"101","人数【人】","2016000606","2016年6月","01634","鹿追町","","42","","24","","2","","***","","-","","-","","3","","***","","-","","4","","6","","3",""
"101","人数【人】","2016000606","2016年6月","01635","新得町","","92","","4","","10","","***","","2","","1","","3","","***","","-","","6","","7","","59",""
"101","人数【人】","2016000606","2016年6月","01636","清水町","","55","","27","","4","","***","","5","","1","","13","","***","","-","","4","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01637","芽室町","","42","","8","","14","","***","","2","","-","","10","","***","","-","","2","","3","","3",""
"101","人数【人】","2016000606","2016年6月","01638","中札内村","","31","","7","","-","","***","","1","","-","","21","","***","","-","","1","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01639","更別村","","6","","-","","1","","***","","1","","-","","-","","***","","-","","1","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01641","大樹町","","52","","9","","2","","***","","14","","-","","26","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01642","広尾町","","37","","28","","1","","***","","-","","-","","5","","***","","-","","-","","1","","2",""
"101","人数【人】","2016000606","2016年6月","01643","幕別町","","61","","32","","5","","***","","4","","-","","8","","***","","-","","5","","-","","7",""
"101","人数【人】","2016000606","2016年6月","01644","池田町","","12","","1","","-","","***","","4","","-","","2","","***","","-","","1","","-","","4",""
"101","人数【人】","2016000606","2016年6月","01645","豊頃町","","22","","1","","-","","***","","2","","-","","18","","***","","-","","-","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01646","本別町","","28","","7","","6","","***","","2","","1","","1","","***","","-","","2","","-","","9",""
"101","人数【人】","2016000606","2016年6月","01647","足寄町","","17","","8","","3","","***","","1","","-","","3","","***","","-","","-","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01648","陸別町","","21","","5","","-","","***","","-","","-","","11","","***","","-","","-","","1","","4",""
"101","人数【人】","2016000606","2016年6月","01649","浦幌町","","11","","3","","3","","***","","1","","-","","3","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01661","釧路町","","28","","7","","6","","***","","1","","-","","11","","***","","-","","-","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01662","厚岸町","","99","","27","","1","","***","","24","","-","","38","","***","","-","","2","","-","","7",""
"101","人数【人】","2016000606","2016年6月","01663","浜中町","","46","","6","","-","","***","","20","","-","","13","","***","","-","","-","","2","","5",""
"101","人数【人】","2016000606","2016年6月","01664","標茶町","","75","","5","","8","","***","","1","","-","","56","","***","","3","","1","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01665","弟子屈町","","24","","3","","7","","***","","3","","-","","5","","***","","-","","5","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01667","鶴居村","","19","","1","","1","","***","","10","","-","","4","","***","","-","","-","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01668","白糠町","","38","","1","","5","","***","","28","","1","","-","","***","","-","","2","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01691","別海町","","230","","54","","12","","***","","87","","-","","69","","***","","-","","1","","-","","7",""
"101","人数【人】","2016000606","2016年6月","01692","中標津町","","66","","6","","15","","***","","13","","-","","6","","***","","4","","3","","-","","19",""
"101","人数【人】","2016000606","2016年6月","01693","標津町","","36","","7","","-","","***","","9","","-","","18","","***","","-","","1","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01694","羅臼町","","30","","21","","3","","***","","2","","-","","3","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","02201","青森市","","889","","184","","256","","***","","33","","6","","120","","***","","16","","67","","11","","196",""
"101","人数【人】","2016000606","2016年6月","02202","弘前市","","663","","241","","110","","***","","57","","5","","80","","***","","10","","39","","15","","106",""
